,head,relation,tail
400,8033,start_time,700
401,8034,start_time,700
402,8035,start_time,1700
403,8036,start_time,1900
404,8037,start_time,1700
405,8038,start_time,600
406,8039,start_time,600
407,8040,start_time,0
408,8041,start_time,1100
409,8042,start_time,0
410,8043,start_time,0
411,8044,start_time,0
412,8045,start_time,0
413,8046,start_time,0
414,8047,start_time,0
415,8048,start_time,0
416,8049,start_time,1554
417,8050,start_time,1554
418,8051,start_time,1554
419,8052,start_time,1554
420,8053,start_time,1554
421,8054,start_time,1554
422,8055,start_time,1554
423,8056,start_time,1554
424,8057,start_time,1200
425,8058,start_time,1200
426,8059,start_time,1200
427,8060,start_time,1200
428,8061,start_time,1200
429,8062,start_time,1200
430,8063,start_time,2000
431,8064,start_time,2000
432,8065,start_time,2000
433,8066,start_time,2000
434,8067,start_time,2000
435,8068,start_time,2000
436,8069,start_time,2000
437,8070,start_time,2000
438,8071,start_time,2000
439,8072,start_time,700
440,8073,start_time,0
441,8074,start_time,0
442,8075,start_time,0
443,8076,start_time,0
444,8077,start_time,0
445,8078,start_time,1400
446,8079,start_time,1400
447,8080,start_time,1400
448,8081,start_time,1000
449,8082,start_time,1000
450,8083,start_time,200
451,8084,start_time,200
452,8085,start_time,200
453,8086,start_time,0
454,8087,start_time,0
455,8088,start_time,0
456,8089,start_time,0
457,8090,start_time,0
458,8091,start_time,0
459,8092,start_time,0
460,8093,start_time,0
461,8094,start_time,0
462,8095,start_time,0
463,8096,start_time,
464,8097,start_time,
465,8098,start_time,
466,8099,start_time,
467,8100,start_time,
468,8101,start_time,
469,8102,start_time,0
470,8103,start_time,0
471,8104,start_time,0
472,8105,start_time,1800
473,8106,start_time,1800
474,8107,start_time,1800
475,8108,start_time,1800
476,8109,start_time,0
477,8110,start_time,0
478,8111,start_time,0
479,8112,start_time,0
480,8113,start_time,0
481,8114,start_time,0
482,8115,start_time,0
483,8116,start_time,0
484,8117,start_time,0
485,8118,start_time,0
486,8119,start_time,0
487,8120,start_time,0
488,8121,start_time,0
489,8122,start_time,0
490,8123,start_time,0
491,8124,start_time,0
492,8125,start_time,0
493,8126,start_time,0
494,8127,start_time,0
495,8128,start_time,0
496,8129,start_time,0
497,8130,start_time,0
498,8131,start_time,0
499,8132,start_time,0
500,8133,start_time,0
501,8134,start_time,0
502,8135,start_time,0
503,8136,start_time,0
504,8137,start_time,0
505,8138,start_time,0
506,8139,start_time,0
507,8140,start_time,0
508,8141,start_time,0
509,8142,start_time,0
510,8143,start_time,0
511,8144,start_time,0
512,8145,start_time,1700
513,8146,start_time,1700
514,8147,start_time,1700
515,8148,start_time,1700
516,8149,start_time,1700
517,8150,start_time,1700
518,8151,start_time,
519,8152,start_time,
520,8153,start_time,
521,8154,start_time,
522,8155,start_time,1100
523,8156,start_time,2100
524,8157,start_time,2100
525,8158,start_time,2100
526,8159,start_time,0
527,8160,start_time,
528,8161,start_time,
529,8162,start_time,
530,8163,start_time,
531,8164,start_time,
532,8165,start_time,
533,8166,start_time,
534,8167,start_time,
535,8168,start_time,
536,8169,start_time,0
537,8170,start_time,0
538,8171,start_time,0
539,8172,start_time,0
540,8173,start_time,0
541,8174,start_time,0
542,8175,start_time,0
543,8176,start_time,0
544,8177,start_time,0
545,8178,start_time,0
546,8179,start_time,0
547,8180,start_time,0
548,8181,start_time,0
549,8182,start_time,
550,8183,start_time,
551,8184,start_time,0
552,8185,start_time,0
553,8186,start_time,
554,8187,start_time,
555,8188,start_time,
556,8189,start_time,0
557,8190,start_time,0
558,8191,start_time,0
559,8192,start_time,0
560,8193,start_time,
561,8194,start_time,
562,8195,start_time,
563,8196,start_time,
564,8197,start_time,
565,8198,start_time,
566,8199,start_time,
567,8200,start_time,
568,8201,start_time,
569,8202,start_time,
570,8203,start_time,
571,8204,start_time,
572,8205,start_time,
573,8206,start_time,
574,8207,start_time,0
575,8208,start_time,0
576,8209,start_time,0
577,8210,start_time,0
578,8211,start_time,0
579,8212,start_time,0
580,8213,start_time,0
581,8214,start_time,0
582,8215,start_time,0
583,8216,start_time,0
584,8217,start_time,0
585,8218,start_time,0
586,8219,start_time,0
587,8220,start_time,0
588,8221,start_time,0
589,8222,start_time,0
590,8223,start_time,0
591,8224,start_time,0
592,8225,start_time,0
593,8226,start_time,0
594,8227,start_time,3
595,8228,start_time,0
596,8229,start_time,0
597,8230,start_time,0
598,8231,start_time,0
599,8232,start_time,700
600,8233,start_time,700
601,8234,start_time,700
602,8235,start_time,700
603,8236,start_time,700
604,8237,start_time,700
605,8238,start_time,700
606,8239,start_time,700
607,8240,start_time,700
608,8241,start_time,0
609,8242,start_time,0
610,8243,start_time,0
611,8244,start_time,0
612,8245,start_time,0
613,8246,start_time,0
614,8247,start_time,0
615,8248,start_time,0
616,8249,start_time,0
617,8250,start_time,0
618,8251,start_time,0
619,8252,start_time,10
620,8253,start_time,10
621,8254,start_time,10
622,8255,start_time,10
623,8256,start_time,10
624,8257,start_time,10
625,8258,start_time,10
626,8259,start_time,10
627,8260,start_time,10
628,8261,start_time,10
629,8262,start_time,10
630,8263,start_time,10
631,8264,start_time,10
632,8265,start_time,10
633,8266,start_time,10
634,8267,start_time,10
635,8268,start_time,10
636,8269,start_time,10
637,8270,start_time,10
638,8271,start_time,10
639,8272,start_time,10
640,8273,start_time,10
641,8274,start_time,10
642,8275,start_time,10
643,8276,start_time,10
644,8277,start_time,10
